species,concentration
H,0.5
#H,3.02112E-15
H+,1.78903E-17
H2,0.25
#H2,1E-30
H2+,9.48E-18
H3+,7.79656E-25
HE,0.1
HE+,3.6972E-18
HEH+,1.94914E-26
C,1.00004E-10
#C,8.03154E-18
C+,0.00026
CH,1.98795E-24
CH+,6.99058E-19
#CH,3.23697E-28
CH2,7.90808E-26
CH2+,3.43119E-17
#CH2,1E-30
N,6.1E-05
N+,1.07175E-20
#N,9.85062E-20
CH3,1E-30
CH3+,2.17068E-24
#CH3,1E-30
NH,1E-30
NH+,1.73859E-28
#NH,4.09131E-30
#CH4,1E-30
CH4,1E-30
CH4+,1E-30
NH2,1E-30
NH2+,1E-30
#NH2,1E-30
O,0.00046
#O,6.94857E-19
O+,1.02333E-19
#NH3,1E-30
CH5+,1E-30
NH3,1E-30
NH3+,1E-30
OH,2.62295E-19
OH+,7.9135E-27
#OH,2.88952E-29
#H2O,1E-30
H2O,1E-30
H2O+,1E-30
NH4+,1E-30
H3O+,1E-30
C2,1E-30
C2+,1E-30
MG,3.981E-05
MG+,9.49779E-15
#C2,1E-30
#MG,4.91003E-20
C2H,1E-30
C2H+,1E-30
#C2H,1E-30
#C2H2,1E-30
C2H2,1E-30
C2H2+,1E-30
CN,1E-30
CN+,1.35924E-26
#HCN,1E-30
#HNC,1E-30
C2H3,1E-30
HCN,1E-30
HCN+,7.28269E-29
HNC,1E-30
#C2H3,1E-30
#CO,1E-30
#N2,1E-30
CO,6.06698E-30
CO+,2.20431E-25
H2CN,1E-30
HCNH+,1E-30
N2,1E-30
N2+,1E-30
SI,3.95554E-18
SI+,1E-07
#H2CN,1E-30
#C2H4,1E-30
C2H4,1E-30
HCO,1E-30
HCO+,1.87222E-27
#HCO,1E-30
HOC+,1E-30
N2H+,1E-30
SIH,1E-30
SIH+,2.97902E-22
C2H5,1E-30
#C2H5,1E-30
#NO,1E-30
#H2CO,1E-30
H2CO,1E-30
H2CO+,1E-30
NO,1E-30
NO+,1E-30
SIH2,1E-30
SIH2+,2.37237E-23
H3CO,1E-30
H3CO+,1E-30
#H3CO,1E-30
HNO,1E-30
HNO+,1E-30
SIH3,1E-30
SIH3+,1E-30
#HNO,1E-30
CH2OH,1E-30
#CH2OH,1E-30
#O2,1E-30
#CH3OH,1E-30
#SIH4,2.02226E-21
CH3OH,1E-30
H2NO+,1E-30
O2,1.52053E-26
O2+,1E-30
S,9.30538E-17
S+,1.318E-05
SIH4,1E-30
SIH4+,1E-30
CH3OH2+,1E-30
HS,7.31567E-28
HS+,3.2592E-28
O2H,1E-30
O2H+,1E-30
SIH5+,1E-30
#O2H,1E-30
#HS,1E-30
#H2S,2.4932E-19
H2S,1.42198E-30
H2S+,2.05779E-20
CL,9.03249E-19
CL+,3.162E-07
H3S+,1E-30
#HCL,5.71932E-21
C3+,1E-30
HCL,7.41075E-30
HCL+,2.50048E-14
H2CL+,1.28528E-21
C2N,1E-30
C2N+,1E-30
C3H2,1E-30
#C3H2,1E-30
C2NH+,1E-30
#CH3CCH,1E-30
CH3CCH,1E-30
SIC,1E-30
SIC+,1E-30
#SIC,1E-30
#CH3CN,1E-30
C3H5+,1E-30
CH3CN,1E-30
#CH2CO,1E-30
#CH3CNH,1E-30
CH2CO,1E-30
CH3CNH,1E-30
CH3CNH+,1E-30
OCN,1E-30
#HNCO,1E-30
HNCO,1E-30
#SIO,1E-30
#CS,1E-30
#CO2,1E-30
CO2,1E-30
CS,1E-30
CS+,1E-30
SIO,1E-30
SIO+,1.46718E-25
CH3CHO,1E-30
#CH3CHO,1E-30
HCO2+,1E-30
HCS,1E-30
HCS+,1E-30
SIOH+,1E-30
NH2CHO,1E-30
#NH2CHO,1E-30
HCOO,1E-30
#HCOO,1E-30
#H2CS,1E-30
#NO2,1E-30
#NS,1E-30
#H2SIO,1E-30
H2CS,1E-30
H2CS+,1E-30
H2SIO,1E-30
NO2,1E-30
NS,1E-30
NS+,1E-30
HCOOH,1E-30
#HCOOH,1E-30
H3CS+,1E-30
HNS+,1E-30
#SO,1E-30
SO,1E-30
SO+,2.29088E-30
C4H,1E-30
HSO+,1E-30
#C4H,1E-30
C3N,1E-30
#HC3N,1E-30
HC3N,1E-30
C2N2+,1E-30
NCCN,1E-30
SIC2,1E-30
SIC2+,1E-30
#NCCN,1E-30
#SIC2,1E-30
#SIS,1E-30
#OCS,1E-30
OCS,1E-30
OCS+,1E-30
SIS,1E-30
SIS+,1E-30
HOCS+,1E-30
HSIS+,1E-30
C4N,1E-30
C4N+,1E-30
#C4N,1E-30
#SIC3,1E-30
SIC3+,1E-30
SIC3,1E-30
#SO2,1E-30
S2,1E-30
S2+,1E-30
SO2+,1E-30
SO2,1E-30
HS2,1E-30
HS2+,1E-30
HSO2+,1E-30
H2S2+,1E-30
H2S2,1E-30
#H2S2,1E-30
E-,0.000273596
